PMID	Year	Abstract
30220031	2018	'Hypoxia-inducible factor-1 (HIF-1) is a heterodimer of HIF-1α and HIF-1β, and its key role in the regulation of cellular responses to hypoxia has been well-demonstrated. The participation of HIF-1α in apoptosis has been reported in mammals, however, a little information is available on the role of HIF-1α in the progression of apoptosis in fish. In this study, to know the role of HIF-1α in the apoptosis of fish cells, we produced HIF-1α knockout Epithelioma papulosum cyprini (EPC) cells using a CRISPR/Cas9 vector, and a single cell clone showing a heterozygous insertion/deletion (indel) mutation (one nucleotide insertion and one nucleotide deletion in HIF-1α gene) was chosen for further experiments. To confirm the knockout of HIF-1α, cells were transfected with a hypoxia reporting vector containing hypoxic response elements (HREs). EPC cells transfected with the reporting plasmids showed significantly increased luminescence by exposure to cobalt chloride, a prolyl hydroxylases inhibitor. On the other hand, HIF-1α knockout EPC cells showed a non-responsiveness to a cobalt chloride exposure, suggesting that functional HIF-1α protein was not produced in the HIF-1α knockout EPC cells. Apoptosis progression induced by camptothecin and viral hemorrhagic septicemia virus (VHSV) infection was severely inhibited by HIF-1α knockout, and the replication of VHSV was significantly retarded in HIF-1α knockout EPC cells. These results suggest that HIF-1α in EPC cells acts as a pro-apoptotic factor in the progression of apoptosis triggered by a DNA damaging agent and rhabdoviral infection.'
30220025	2018	'PURPOSE: Oxidative stress is involved in the pathogenesis of hypertensive disorders such as preeclampsia (PE) and associated with the human vitamin E-binding protein afamin. The aim of this study was, therefore, to analyse afamin in the first trimester of patients developing PE later in pregnancy and in control subjects without pregnancy complications.\n\nMETHODS: In this retrospective study, 137 serum samples from the first trimester of pregnancy were analysed in a case-control study design. 39 patients developed PE (10 patients with early-onset and 29 patients with late onset disease) and 98 women had an uncomplicated pregnancy. Mann-Whitney U test, t test, logistic regression and ROC analyses were performed for statistical evaluation.\n\nRESULTS: Pregnant women developing PE presented with higher afamin concentrations in the first trimester [median 101.81\xa0mg/L; interquartile range (IQR) 88.94-113.26] compared to subjects with uncomplicated pregnancy (median 86.40; IQR 75.26-96.92; p\u2009<\u20090.001). After adjusting for confounders, the odds ratio per afamin standard deviation was 1.60 (95% CI: 1.04-2.58; p\u2009=\u20090.04). An afamin threshold concentration of 87.8\xa0mg/L exhibited the best sensitivity (79.5%) and specificity (57.1%) in predicting PE. Subgroup analysis of early- and late-onset disease resulted in substantially higher afamin concentrations in women with developing late-onset PE compared to controls (p\u2009<\u20090.001) with an odds ratio per afamin standard deviation of 1.62 (95% CI: 0.98-2.70; p\u2009=\u20090.06).\n\nCONCLUSIONS: Serum afamin concentrations are elevated in the first trimester among patients developing PE compared to controls. Substantial differences were observed mainly among patients with late-onset PE.'
30220021	2018	"""Previous study revealed that microRNA (miR)-150 might function as a tumor suppressor in osteosarcoma partially by targeting Insulin-Like Growth Factor 2 mRNA-Binding Protein 1 (IGF2BP1). The aim of this study was to investigate the clinical significance of miR-150-IGF2BP1 axis in human osteosarcoma which remains unclear. At first, expression levels of miR-150, and IGF2BP1 mRNA and protein in 20 osteosarcoma and matched adjacent noncancerous tissues were respectively detected by quantitative real-time PCR and western blot analyses. Then, subcellular localization and expression pattern of IGF2BP1 protein in 100 osteosarcoma tissues were examined by immunohistochemistry. Associations of miR-150/IGF2BP1 expression with various clinicopathological features and patients' prognosis were also statistically evaluated. As a result, miR-150 expression was significantly decreased, while IGF2BP1 mRNA and protein expression were dramatically increased in osteosarcoma tissues compared to matched adjacent noncancerous tissues (all P\u2009<\u20090.001). Immunostaining of IGF2BP1 protein was localized in cytoplasm of tumor cells in osteosarcoma tissues. Statistically, low miR-150 expression and/or high IGF2BP1 protein immunoreactive score were all significantly associated with high tumor grade, presence of metastasis and recurrence, as well as poor response to chemotherapy (all P\u2009<\u20090.05). Moreover, miR-150, IGF2BP1 and combined miR-150/IGF2BP1 expressions were all identified as independent prognostic factors for overall and disease-free survivals of osteosarcoma patients (all P\u2009<\u20090.05). In conclusion, our data suggest that miR-150 and its downstream target IGF2BP1 may be a crucial axis for the development, progression and patients' prognosis of ostesarcoma. The newly identified miR-150/IGF2BP1 axis might be a novel potential therapeutic target for osteosarcoma treatment."""
30220016	2018	"'The present study aimed to isolate and identify the potential probiotic lactic acid bacteria (LAB) from traditionally fermented wheat flour dough known as ""babroo."" A total of 26 lactic isolates were obtained from 50 different samples collected from different locations of the Himalayan province (Himachal Pradesh). To ascertain non-pathogenic nature, the isolates were screened by hemolytic activity leading to 20 non-hemolytic strains which were subjected to tolerance to simulated gastrointestinal conditions. Seven different strains were selected based on their tolerance to gastrointestinal conditions. All the selected seven isolates were found to be susceptible to ampicillin and resistant to gentamicin. The phylogenetic analysis revealed three different strains of Lactobacillus fermentum, two strains of Lactobacillus plantarum, and two of Pediococcus acidilactici. The isolates exhibit different degrees of cell surface hydrophobicity (20.0-42.0%), cellular autoaggregation (5.0-41.0%), and adhesion to mucin (35.0-78.0%). The different lactic strains also possessed higher antioxidant properties (87.6-92.9%) determined in terms of free radical scavenging activity, bile salt hydrolase activity, cholesterol lowering activity (49.0-75.0%), and exopolysaccharide production. The principal component analysis (PCA) on probiotic attributes indicated that L. plantarum K90, L. fermentum K75, and L. fermentum K78 can be used as potential probiotic candidates.'"
30219981	2018	'Bovine mastitis causes severe economic losses to dairy farmers. Staphylococcus aureus, is one of the most important pathogen implicated in etiology of clinical and subclinical mastitis in bovines. In view of increasing antimicrobial resistance alternatives to antibiotic therapy are much needed. The present decade has witnessed a renewed interest in phage based therapeutics and diagnostics. The present study, describes isolation and characterization of two lytic phages SAJK-IND and MSP against Staphylococcus aureus having a potential to be used in therapy against mastitis. SAJK-IND and MSP phages belonged to Myoviridae and Podoviridae families, respectively. TEM imaging of the two phages revealed an iscosahedral head. MSP phage has a short non contractile tail. SAJK-IND and MSP have a burst size of 44\u2009±\u20093 and 25\u2009±\u20095 PFU/ infected cell, respectively. SAJK-IND and MSP phages revealed ̴ 12 and ̴16 proteins, respectively on SDS-PAGE analysis. The lytic activity of the phages was specific for Staphylococcus aureus. SAJK-IND revealed 100% lytic activity against several strains of Staphylococcus aureus isolated from mastitis milk samples whereas, MSP had only 40% lytic activity. SAJK-IND phage genome was sequenced, assembled and deposited in Genbank under accession no MG010123.'
30219967	2018	"""Bone fractures represent a significant medical morbidity among aged population with osteoporosis. Bone morphogenetic proteins (BMPs) are suggested to have therapeutic potential to enhance fracture healing in such patients. Though BMP-mediated fracture healing has been well-documented in preclinical models, there has been no clinical study that demonstrated unequivocally that indeed a BMP when presented with an appropriate scaffold could provide basis for robust outcome for delayed or non-union diaphyseal bone fractures. This review presents a comprehensive insight towards the existing knowledge on the role of BMP signaling in bone formation and maintenance. Also therapeutic options based on BMP biology are discussed.A novel osteoinductive autologous bone graft substitute (ABGS) aimed to accelerate bone regeneration was developed and is currently being tested in the clinical setting. It comprises of a biologically compatible autologous carrier made from the patient's peripheral blood (autologous blood coagulum, ABC) and of rhBMP6 as an active ingredient. Such formulation circumvents the use of animal-derived materials, significantly limits inflammatory processes common in commercial bone devices and renders the carrier flexible, malleable, and injectable ensuring the ease of use. The ongoing clinical trials result will provide more detailed insights into the safety, tolerability, pharmacokinetics, and bone healing effects in humans and potentially provide novel and safe therapeutic options for bone repair."""
30219962	2018	'PURPOSE: Obstructive sleep apnea (OSA) is associated with renal impairs. As a novel pathophysiological hallmark of OSA, chronic intermittent hypoxia (CIH) enhances apoptosis and autophagy. The present study aims to evaluate the effect of telmisartan on CIH-induced kidney apoptosis and autophagy in a mouse model of OSA.\n\nMATERIALS AND METHODS: Mice were randomly allocated to normoxia, CIH, and CIH+telmisartan groups (n\xa0=\u200912 in each group). The CIH exposure duration was 12\xa0weeks. Mice in the CIH+telmisartan group received telmisartan administration. The terminal deoxynucleotidyl transferase dUTP nick-end labeling (TUNEL) assay and western blotting of Bax and cleaved caspase-3 were conducted for evaluating apoptosis in kidney tissue. While the autophagy-related proteins, beclin-1 and LC3, were also observed via western blotting.\n\nRESULTS: The percentage of apoptotic cell in the CIH group was significantly higher than that of normoxia group; meanwhile, Bax and cleaved caspase-3 protein levels were increased in the CIH group than those of normoxia group (all p\xa0<\u20090.05). Compared with the normoxia group, mice in the CIH group had greater autophagy-related proteins (beclin-1 and LC3) expression. When compared to the CIH group, both the renal apoptosis and autophagy in the CIH+telmisartan group were decreased.\n\nCONCLUSION: The CIH accelerates renal apoptosis and autophagy levels. Telmisartan ameliorating those levels suggests that it might prevent renal impairs from the CIH in OSA patients.'
30219960	2018	'MAIN CONCLUSION: Oleanolic acid glucuronosyltransferase (OAGT) genes synthesizing the direct precursor of oleanane-type ginsenosides were discovered. The four recombinant proteins of OAGT were able to transfer glucuronic acid at C-3 of oleanolic acid that yields oleanolic acid 3-O-β-glucuronide. Ginsenosides are the primary active components in the genus Panax, and great efforts have been made to elucidate the mechanisms underlying dammarane-type ginsenoside biosynthesis. However, there is limited information on oleanane-type ginsenosides. Here, high-performance liquid chromatography analysis demonstrated that oleanane-type ginsenosides (particularly ginsenoside Ro and chikusetsusaponin IV and IVa) are the abundant ginsenosides in Panax zingiberensis, an extremely endangered Panax species in southwest China. These ginsenosides are derived from oleanolic acid 3-O-β-glucuronide, which may be formed from oleanolic acid catalyzed by an unknown oleanolic acid glucuronosyltransferase (OAGT). Transcriptomic analysis of leaves, stems, main roots, and fibrous roots of P. zingiberensis was performed, and a total of 46,098 unigenes were obtained, including all the identified homologous genes involved in ginsenoside biosynthesis. The most upstream genes were highly expressed in the leaves, and the UDP-glucosyltransferase genes were highly expressed in the roots. This finding indicated that the precursors of ginsenosides are mainly synthesized in the leaves and transported to different parts for the formation of particular ginsenosides. For the first time, enzyme activity assay characterized four genes (three from P. zingiberensis and one from P. japonicus var. major, another Panax species with oleanane-type ginsenosides) encoding OAGT, which particularly transfer glucuronic acid at C-3 of oleanolic acid to form oleanolic acid 3-O-β-glucuronide. Taken together, our study provides valuable genetic information for P. zingiberensis and the genes responsible for synthesizing the direct precursor of oleanane-type ginsenosides.'
30219955	2018	'Patients presenting with neurological deficits and/or pain due to spinal metastasis usually require immediate or subacute surgical treatment. Nevertheless, it is unclear whether or not side effects of primary cancer location might influence postoperative complication rate. We therefore analyzed our spinal database to identify factors influencing early postoperative complications after surgery for symptomatic spinal metastases. From 2013 to 2017, 163 consecutive patients suffering from symptomatic spinal metastases were treated at our department. Early postoperative complications were defined as any postoperative event requiring additional medical or surgical treatment within 30\xa0days of spinal surgery. A multivariate regression analysis was performed to identify independent predictors for postoperative complications after surgery for spinal metastasis. Overall, 39 of 163 patients who underwent spinal surgery for spinal metastasis developed early postoperative complications throughout the treatment course (24%). Preoperative ASA score ≥\u20093 (p\u2009=\u20090.003), preoperative C-reactive protein level >\u200910\xa0mg/l (p\u2009=\u20090.008), preoperative Karnofsky Performance Score <\u200960% (p\u2009=\u20090.03), radiation treatment within 2\xa0months of surgery (p\u2009=\u20090.01), presence of diabetes mellitus (p\u2009=\u20090.008), and preoperative complete neurological impairment (p\u2009=\u20090.04) were significant and independent predictors for early postoperative complications in patients with surgery for spinal metastasis. The ability to preoperatively predict postoperative complication risk is valuable to select critically ill patients at higher risk requiring special attention. Therefore, the present study identified several significant and independent risk factors for the development of early postoperative complication in patients who underwent surgery for spinal metastasis.'
30219944	2018	'Mammalian hibernation is a natural process in which the brain undergoes profound adaptive changes that appear to protect the brain from extreme hypoxia and hypothermia. In addition to a virtual cessation of neural and metabolic activity, these changes include a decrease in adult neurogenesis; the retraction of neuronal dendritic trees; changes in dendritic spines and synaptic connections; fragmentation of the Golgi apparatus; and the phosphorylation of the microtubule-associated protein tau. Furthermore, alterations of microglial cells also occur in torpor. Importantly, all of these changes are rapidly and fully reversed when the animals arouse from torpor state, with no apparent brain damage occurring. Thus, hibernating animals are excellent natural models to study different aspects of brain plasticity. The axon initial segment (AIS) is critical for the initiation of action potentials in neurons and is an efficient site for the regulation of neural activity. This specialized structure-characterized by the expression of different types of ion channels and adhesion, scaffolding and cytoskeleton proteins-is subjected to morpho-functional plastic changes upon variations in neural activity or in pathological conditions. Here, we used immunocytochemistry and 3D confocal microscopy reconstruction techniques to measure the possible morphological differences in the AIS of neocortical (layers II-III and V) and hippocampal (CA1) neurons during the hibernation of the Syrian hamster. Our results indicate that the general integrity of the AIS is resistant to the ischemia/hypoxia conditions that are characteristic of the torpor phase of hibernation. In addition, the length of the AIS significantly increased in all the regions studied-by about 16-20% in torpor animals compared to controls, suggesting the existence of compensatory mechanisms in response to a decrease in neuronal activity during the torpor phase of hibernation. Furthermore, in double-labeling experiment, we found that the AIS in layer V of torpid animals was longer in neurons expressing phospho-tau than in those not labeled for phospho-tau. This suggests that AIS plastic changes were more marked in phospho-tau accumulating neurons. Overall, the results further emphasize that mammalian hibernation is a good physiological model to study AIS plasticity mechanisms in non-pathological conditions.'
30219925	2018	'Peroxisomes are key metabolic organelles, which contribute to cellular lipid metabolism, e.g. the β-oxidation of fatty acids and the synthesis of myelin sheath lipids, as well as cellular redox balance. Peroxisomal dysfunction has been linked to severe metabolic disorders in man, but peroxisomes are now also recognized as protective organelles with a wider significance in human health and potential impact on a large number of globally important human diseases such as neurodegeneration, obesity, cancer, and age-related disorders. Therefore, the interest in peroxisomes and their physiological functions has significantly increased in recent years. In this review, we intend to highlight recent discoveries, advancements and trends in peroxisome research, and present an update as well as a continuation of two former review articles addressing the unsolved mysteries of this astonishing organelle. We summarize novel findings on the biological functions of peroxisomes, their biogenesis, formation, membrane dynamics and division, as well as on peroxisome-organelle contacts and cooperation. Furthermore, novel peroxisomal proteins and machineries at the peroxisomal membrane are discussed. Finally, we address recent findings on the role of peroxisomes in the brain, in neurological disorders, and in the development of cancer.'
30219914	2018	'The central dogma of molecular biology explains the fundamental flow of genetic information for life. Although genome sequence (DNA) itself is a static chemical signature, it includes multiple layers of information composed of messenger RNA (mRNA), transfer RNA (tRNA), ribosomal RNA (rRNA), and small RNAs, all of which are involved in protein synthesis, and is passing from parents to offspring via DNA. Methylation is a biologically important modification, because DNA, RNAs, and proteins, components of the central dogma, are methylated by a set of methyltransferases. Recent works focused on understanding a variety of biological methylation have shed light on new regulation of cellular functions. In this review, we briefly discuss some of those recent findings of methylation, including DNA, RNAs, and proteins.'
30219905	2018	'The Varroa destructor (Acari Varroidae) mite is a serious threat to honey bee due to hemolymph feeding and virus transmission. Mite salivary proteins are involved in these interactions. However, the salivary secretome has not been previously characterized. In this paper, the saliva of V. destructor was found to be toxic to the worker larvae of Apis cerana (Hymenoptera Apidae) in the absence of deformed wing virus (DWV) and to stimulate the development of deformed wings in Apis mellifera (Hymenoptera Apidae) adults in the presence of DWV. The salivary secretome was analyzed by nano-liquid chromatography coupled to tandem mass spectrometry (nano-LC-MS/MS). A search of the resulting data against peptide databases using the software Mascot yielded 356, 53, and 9 matched proteins from V. destructor, A. mellifera, and DWV, respectively. The saliva contained Varroa mite proteins identified as important for potential virulence to A. cerana larvae, for the inhibition of harmful microorganisms, for the utilization of bee nutrients, and for antioxidant, oxidation-reduction and detoxification functions as well as A. mellifera proteins identified as nutrients important for mite reproduction. The saliva proteins also contained viral proteins from one virus, DWV. These results provide a strong foundation for understanding the interactions among the Varroa mite, honeybee, and DWV.'
30219894	2018	'DEAD-Box proteins (DBPs) constitute a prominent class of RNA remodeling factors that play a role in virtually all aspects of RNA metabolism. To better define their cellular functions, deletions in the genes encoding each of the Escherichia coli DBPs were combined with mutations in genes encoding different Ribonucleases (RNases). Significantly, double-deletion strains lacking Ribonuclease R (RNase R) and either the DeaD or SrmB DBP were found to display growth defects and an enhanced accumulation of ribosomal RNA (rRNA) fragments. As RNase R is known to play a key role in removing rRNA degradation products, these observations initially suggested that these two DBPs could be directly involved in the same process. However, additional investigations indicated that DeaD and SrmB-dependent rRNA breakdown is caused by delays in ribosome assembly that increase the exposure of nascent RNAs to endonucleolytic cleavage. Consistent with this notion, mutations in factors known to be important for ribosome assembly also resulted in enhanced rRNA breakdown. Additionally, significant levels of rRNA breakdown products could be visualized in growing cells even in the absence of assembly defects. These findings reveal a hitherto unappreciated mechanism of rRNA degradation under conditions of both normal and abnormal ribosome assembly.'
